Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Aix sponsa,39,NA,15.05,11.4,31.9,219
Akletos goeldii,NA,13.75,5.3,6.35,33.7,87
Akletos melanoceps,NA,13.85,5.7,6.6,32.1,85.6
Alaemon alaudipes,29.4,NA,5.2,5.1,31.2,121
Alaemon hamertoni,18.2,NA,3.4,3.7,28.5,102
Alauda arvensis,NA,NA,NA,NA,NA,106
Alauda gulgula,15.1,NA,4.3,4.6,23.4,87
Alauda leucoptera,14.1,NA,4.9,5.7,20.7,114
Alauda razae,16.6,NA,4.5,5.2,20.4,81
Alaudala raytal,13.1,NA,4.1,4,17.9,81
Alaudala rufescens,NA,NA,NA,NA,NA,87.5
Alaudala somalica,13.2,NA,5.2,5.4,19.5,88
Alca torda,43.55,NA,9.15,22.95,32.3,208.5
Alcedo atthis,NA,NA,NA,NA,NA,73.5
Alcedo coerulescens,36.65,29.05,5,6.3,8.9,59.25
Alcedo euryzona,52,NA,NA,NA,NA,86
Alcedo hercules,56.9,43.95,7.8,10.9,11.95,96.5
Alcedo meninting,NA,NA,NA,NA,NA,65
Alcedo peninsulae,50,NA,NA,NA,NA,80
Alcedo quadribrachys,48.6,NA,7.2,9.1,11.6,77.7
Alcedo semitorquata,50.1,NA,7.1,8.9,10.5,80.1
Alcippe brunneicauda,13.85,NA,3.7,4.15,20.95,70
Alcippe grotei,14,7.75,3.35,4.25,20.35,66
Alcippe morrisonia,12.3,NA,2.9,3.8,19.2,61
Alcippe nipalensis,12.2,NA,2.8,3.6,20.2,56.5
Alcippe peracensis,13.9,NA,3.2,3.8,21.5,63
Alcippe poioicephala,14.7,NA,3.6,4.2,21.8,69.5
Alcippe pyrrhoptera,14,NA,3.4,3.9,21.9,62
Alcurus striatus,19.6,NA,4.3,5.2,18.4,102
Aleadryas rufinucha,20.5,NA,4.9,7.4,29.3,85
Alectoris barbara,22.2,NA,8.4,9.5,43,160
Alectoris chukar,21.15,NA,7.85,8.4,39.1,153.5
Alectoris graeca,20.5,NA,8.25,8.55,40.25,152
Alectoris magna,23.7,NA,9.6,10.3,42,173
Alectoris melanocephala,30,NA,10.9,12.3,49.1,NA
Alectoris philbyi,21.5,NA,8.4,10,41.1,161
Alectoris rufa,23.1,NA,NA,NA,40.3,156
Alectroenas madagascariensis,17.9,9.05,4.15,4.15,22.45,170
