Group.1,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length
Loriculus galgulus,15.5,NA,6.5,8.6,10.3,79
Loriculus philippensis,17.55,NA,5.5,9.4,11.25,91
Loriculus pusillus,11.95,9.6,5.3,8.05,9.6,84.5
Loriculus sclateri,14,11.7,5.9,9.25,11.25,89.5
Loriculus stigmatus,13.65,NA,NA,NA,11.25,96.5
Loriculus tener,10.4,7.2,3.3,5.8,8.8,65
Loriculus vernalis,13.2,NA,5.7,9,9.7,86
Lorius albidinucha,27.8,21.3,11,19.6,20.3,162
Lorius chlorocercus,27.7,NA,10.7,22.4,21.4,157
Lorius domicella,31.6,NA,13.3,22.1,22.7,162
Lorius garrulus,29.2,NA,13.5,21.6,24,166
Lorius hypoinochrous,31.55,27,14.3,23.7,21.7,170.5
Lorius lory,31.35,25.6,12.65,21.25,24.2,163.5
Loxia curvirostra,NA,NA,NA,NA,NA,96
Loxia leucoptera,NA,NA,NA,NA,NA,88.75
Loxia megaplaga,21,14.15,5.8,10.55,17.55,85.25
Loxia pytyopsittacus,NA,NA,NA,NA,NA,103.5
Loxia scotica,NA,NA,NA,NA,NA,97.25
Loxigilla barbadensis,14.8,NA,4.8,7,20.1,68
Loxigilla noctis,13.7,NA,4.8,7.5,19.8,69
Loxioides bailleui,14.4,8.75,7.2,9.9,24.65,89.5
Loxipasser anoxanthus,10.1,NA,4,6.3,14,61
Loxops caeruleirostris,14.1,NA,4.6,5.5,20.9,62
Loxops coccineus,NA,NA,NA,NA,NA,NA
Loxops ochraceus,NA,NA,NA,NA,NA,NA
Lullula arborea,NA,NA,NA,NA,NA,94
Lurocalis rufiventris,NA,NA,NA,NA,11.35,202.5
Lurocalis semitorquatus,16.3,NA,NA,3.9,NA,183
Luscinia luscinia,NA,NA,NA,NA,NA,89
Luscinia megarhynchos,NA,NA,NA,NA,NA,84
Lybius chaplini,23.5,17.7,11.45,13.6,24.75,95
Lybius guifsobalito,21.9,NA,9.45,11.65,20.85,86.5
Lybius leucocephalus,29.2,NA,NA,NA,23.7,94
Lybius leucogaster,25.1,NA,NA,NA,NA,91.35
Lybius rubrifacies,21.9,16.2,10.45,12.2,22.9,86.5
Lybius senex,26.4,NA,NA,NA,NA,93.8
Lybius torquatus,23.3,NA,10.6,12.8,23.8,90
Lybius undatus,19.2,NA,9.2,10.6,19.6,80
Lybius vieilloti,22.8,NA,NA,NA,20.8,80.5
Lycocorax obiensis,48.3,NA,11.9,14.6,50.3,191
Lycocorax pyrrhopterus,45.4,NA,10.4,15.6,48.9,197
Lymnocryptes minimus,43,NA,4.2,7,23.4,107
Lyncornis macrotis,NA,NA,NA,NA,NA,264
Lyncornis temminckii,22.6,NA,5.4,NA,NA,204
Lyrurus mlokosiewiczi,27.8,NA,11.2,11,46.5,195
Lyrurus tetrix,29.85,NA,10.45,12.5,47.05,238
Macgregoria pulchra,36.1,16.8,5.7,8.5,58.4,194
Machaerirhynchus flaviventer,16.2,NA,8.3,3.5,NA,58.5
Machaerirhynchus nigripectus,15.15,NA,7.8,2.95,16.1,60
Machaeropterus deliciosus,11.9,NA,3.7,3.4,17.2,62
Machaeropterus eckelberryi,9.65,5.15,3.4,3.15,14.05,55.65
Machaeropterus pyrocephalus,NA,NA,NA,NA,14.5,52
Machaeropterus regulus,9.6,NA,NA,NA,13.85,53
Machaeropterus striolatus,10.1,NA,NA,NA,NA,NA
Macheiramphus alcinus,48.5,NA,9,12.8,54.7,365
Machetornis rixosa,22.1,NA,NA,4.8,30,93.5
Machlolophus holsti,11.6,8.25,4.35,4.55,18.35,74.5
Machlolophus nuchalis,11.85,7.9,4.15,4.65,16.8,64
Machlolophus spilonotus,11,8.5,4.3,4.6,17.5,76
Machlolophus xanthogenys,11.35,8.15,3.8,4.55,17.45,71.5
Mackenziaena leachii,NA,14,6.05,9.05,35.9,88.8
Mackenziaena severa,NA,13.7,6.15,8.5,34.85,91.25
Macroagelaius imthurni,29.2,NA,5.5,7.8,28,123
Macroagelaius subalaris,24,NA,5.2,8,29.4,118
Macrocephalon maleo,42.6,NA,13.3,18.4,82,293
Macronectes giganteus,92.6,NA,19.5,27.5,85.2,486
Macronectes halli,99.4,NA,21.7,30,86.7,509
Macronus ptilosus,17.7,NA,4.2,4.35,22.4,71
Macronus striaticeps,14.7,8.8,3.3,4.3,19.8,60.7
Macronyx ameliae,18.8,NA,3.9,4.8,31.1,91
Macronyx aurantiigula,19.1,NA,4.2,5.6,32,92
Macronyx capensis,21.1,NA,4,5.2,33.9,95
Macronyx croceus,19.8,10.4,4.1,5.8,34.6,91.75
Macronyx flavicollis,17,NA,3.7,4.8,31.7,87
Macronyx fuelleborni,19.9,NA,4.5,5.5,38.1,94
Macronyx grimwoodi,NA,NA,4.7,5.5,35.45,93.5
Macronyx sharpei,17.1,9.6,3.65,4.85,28.4,86
Macropsalis forcipata,19.5,8.6,4.7,3.85,14.9,223.5
Macropygia amboinensis,NA,NA,NA,NA,NA,165
Macropygia emiliana,22.9,NA,3.7,5,22.1,170
Macropygia macassariensis,NA,NA,NA,NA,NA,NA
Macropygia mackinlayi,16.9,NA,2.8,NA,21.2,149
Macropygia magna,22.25,10.8,4.15,5.75,24.85,187.5
Macropygia nigrirostris,18.5,8.1,3.3,5.35,19.75,147
Macropygia phasianella,20.85,NA,3.8,4.8,24.45,173.5
Macropygia ruficeps,16.1,NA,2.7,3.7,18.8,142
Macropygia rufipennis,20.9,NA,3.7,5.1,25.1,189
Macropygia tenuirostris,20.2,NA,3.8,4.8,21.6,176
Macropygia timorlaoensis,NA,NA,NA,NA,NA,NA
Macropygia unchall,22.2,NA,3.5,4.3,21.9,173
Macrosphenus concolor,17,NA,3.4,3.4,19.2,55
Macrosphenus flavicans,NA,NA,NA,NA,NA,56.75
Macrosphenus kempi,19.6,NA,3,3.2,20.65,56
Macrosphenus kretschmeri,18.9,NA,3.4,3.5,22.2,64
Macrosphenus pulitzeri,17.7,10,3.9,3.7,23.2,60
Madanga ruficollis,14.2,8.8,3.2,3.2,19.6,70
Magumma parva,15.7,9.6,3.65,4.25,19.8,57.25
Malacocincla abbotti,19.4,NA,3.7,5.2,23.5,72
Malacocincla perspicillata,21.5,NA,NA,NA,29.4,86.9
Malacocincla sepiaria,18.6,NA,4.1,5.6,26.5,73
Malaconotus alius,32.2,NA,9,11.8,32.4,104
Malaconotus blanchoti,33.1,NA,8.45,12.05,36.25,117.5
Malaconotus cruentus,35,NA,9.6,12.2,36.9,110
Malaconotus gladiator,34.15,19.7,7.9,13.4,34.95,118.75
Malaconotus lagdeni,31.25,17.85,8.55,13.25,33.55,110
Malaconotus monteiri,34.9,19.2,8.9,12.9,34,113
Malacopteron affine,16.05,NA,4.05,4.2,20.65,73
Malacopteron albogulare,14.9,NA,4,4.1,20.8,74
Malacopteron cinereum,16.65,NA,3.5,NA,20.8,77.5
Malacopteron magnirostre,16.5,NA,4.2,4.7,18.7,76
Malacopteron magnum,NA,NA,4.75,5.7,22.25,84
Malacopteron palawanense,22.15,13,4.85,6.3,25.55,86.75
Malacoptila fulvogularis,NA,NA,NA,NA,19.2,93
Malacoptila fusca,27.7,NA,7.2,NA,17.3,87
Malacoptila minor,25.2,17.7,6.7,8.3,19,84.6
Malacoptila mystacalis,33.15,NA,NA,NA,NA,92
Malacoptila panamensis,29.1,NA,9.65,10,18.4,86
Malacoptila rufa,27.65,20.5,6.7,8.95,19.65,87
Malacoptila semicincta,NA,18.4,NA,8.9,NA,87.5
Malacoptila striata,28.65,20.05,7.65,9.45,20.35,95
Malacorhynchus membranaceus,67.45,NA,15.6,17.4,32.05,184.5
Malcorus pectoralis,12.1,NA,2.5,2.8,19.4,49
Malia grata,30,16.6,6.2,6.65,44.1,129
Malimbus ballmanni,23.8,12,5.7,8.4,20.7,85
Malimbus cassini,19.4,NA,5.4,7.2,20.9,89
Malimbus coronatus,18.8,NA,5.5,6.8,20.4,85
Malimbus erythrogaster,23.2,13.7,6.8,8.5,22.2,85
Malimbus ibadanensis,22.8,13,6.4,8.1,22.4,89
Malimbus malimbicus,NA,NA,NA,NA,NA,79.5
Malimbus nitens,NA,NA,NA,NA,NA,85
Malimbus racheliae,19.1,NA,5.1,7.3,19.3,77
Malimbus rubricollis,24.7,NA,NA,NA,25.3,103
Malimbus scutatus,17.7,NA,5.2,NA,21.1,90
Malindangia mcgregori,22.55,NA,7.1,6.2,23.35,103
Malurus alboscapulatus,13.7,NA,3.2,3.2,NA,49
Malurus amabilis,13.35,NA,NA,NA,NA,50
Malurus assimilis,11.55,NA,2.8,2.9,NA,48
Malurus coronatus,NA,NA,2.95,3.1,NA,54
Malurus cyaneus,NA,NA,NA,NA,NA,50
Malurus cyanocephalus,17.45,NA,4.15,3.65,NA,58
Malurus elegans,NA,NA,2.9,2.7,NA,49.5
Malurus lamberti,12.8,NA,2.5,2.7,21.2,47
Malurus leucopterus,NA,NA,2.1,NA,NA,46
Malurus melanocephalus,NA,NA,3.2,3,NA,NA
Malurus pulcherrimus,11.8,NA,2.8,2.7,NA,50
Malurus splendens,11.65,NA,2.55,2.6,NA,50.5
Manacus aurantiacus,12.6,6.15,3.6,3.3,18.95,46.5
Manacus candei,NA,NA,4.25,4,22.15,56
Manacus manacus,NA,NA,NA,NA,NA,NA
Manacus vitellinus,13.6,NA,4.2,NA,20.8,54
Mandingoa nitidula,NA,NA,NA,NA,NA,50
Manorina flavigula,25.1,NA,4,5.3,NA,128
Manorina melanocephala,24.8,NA,4.15,5.7,NA,138
Manorina melanophrys,17,NA,3,4.9,NA,95
Manorina melanotis,25.5,NA,4,4.8,NA,122.5
Manucerthia mana,16,9.9,3.7,4.9,21.6,64
Manucodia ater,40.65,NA,9.4,12.2,40.25,182
Manucodia chalybatus,NA,NA,9.5,12.55,39.15,172
Manucodia comrii,55.35,NA,11.6,16.65,52.6,238.5
Manucodia jobiensis,37.85,NA,10.15,12.5,39.3,169
Mareca americana,44.5,NA,16.4,12.1,NA,252
Mareca falcata,44.4,NA,16.25,12.8,36.55,238
Mareca penelope,NA,NA,NA,NA,NA,250.5
Mareca sibilatrix,36.5,NA,15.7,12.2,36.5,250
Mareca strepera,45.95,NA,16.95,13.35,36.9,251.5
Margarobyas lawrencii,19.55,10.8,6.25,10.65,33.45,144
Margaroperdix madagarensis,21.75,12.5,8.85,9.05,30.8,121
Margarops fuscatus,31.25,NA,NA,NA,36.85,133.5
Margarornis bellulus,NA,8.6,3.25,4.05,18.6,73
Margarornis rubiginosus,NA,NA,2.8,3.45,19.7,75.15
Margarornis squamiger,NA,NA,NA,NA,NA,74.5
Margarornis stellatus,NA,NA,3.6,4,NA,78.1
Marmaronetta angustirostris,44.8,NA,14.9,12.9,32.25,201.5
Maschalethraupis surinama,16.2,NA,NA,NA,17.75,80
Masius chrysopterus,10.3,NA,NA,NA,17.1,58
Mayrornis lessoni,14.7,NA,4.4,3.8,18.8,68
Mayrornis schistaceus,16.9,NA,4.6,4.5,21,69
Mayrornis versicolor,15.15,NA,4,3.8,20.2,68.5
Mazaria propinqua,NA,NA,3.2,3.5,21.7,58
Mearnsia novaeguineae,6.85,3.05,2.4,2.15,10.55,129.5
Mearnsia picina,NA,NA,2.9,3.15,12.55,161.5
Mecocerculus calopterus,11.3,NA,NA,NA,17.1,52
Mecocerculus hellmayri,NA,NA,NA,2.8,NA,56
Mecocerculus leucophrys,NA,NA,NA,3.35,19.95,NA
Mecocerculus minor,10.85,5.7,2.85,2.7,17,57
Mecocerculus poecilocercus,8.9,NA,NA,NA,15.5,56
Mecocerculus stictopterus,NA,NA,NA,NA,17.9,NA
Megabyas flammulatus,21.9,NA,6.5,5.6,16.3,84.5
Megaceryle alcyon,59.3,NA,9.5,13.3,12,158
Megaceryle lugubris,77,NA,11.5,18.2,15.6,182
Megaceryle maxima,94.3,NA,16.2,21.4,15.3,198
Megaceryle torquata,NA,NA,NA,NA,NA,191
Megacrex inepta,73.3,NA,8.4,18,86.7,177
Megadyptes antipodes,63.15,33.4,10.25,19.85,32.85,122
Megalampitta gigantea,36.65,22.2,8.3,12.95,52.8,129
Megaloprepia formosa,18.15,NA,4.45,4.35,NA,140
Megaloprepia magnifica,23.7,NA,4.8,5.2,23.4,NA
Megalurulus grosvenori,20,11.5,4.3,4.5,31.4,67.5
Megalurulus llaneae,18.2,10.9,4.2,4.1,23.2,69.5
Megalurulus mariae,18.5,NA,3.3,4.1,24.7,70.5
Megalurulus rubiginosus,19.7,10.3,3.85,4.25,28.2,71.75
Megalurulus rufus,19.15,9.8,4.2,3.95,30.15,73.75
Megalurulus turipavae,NA,NA,NA,NA,NA,NA
Megalurulus whitneyi,18.45,11.75,3.7,4.35,26.15,62
Megalurus palustris,22.1,NA,4.1,5,35.4,91
Megapodius bernsteinii,22.4,11.9,6.2,7.9,60.8,185
Megapodius cumingii,24.7,NA,6.6,7.5,61.5,214
Megapodius decollatus,NA,NA,6.3,7.7,62.6,225.25
Megapodius eremita,24.2,NA,5.8,8.2,62.5,210
Megapodius freycinet,25.9,NA,7.05,8.1,63.5,207.5
Megapodius geelvinkianus,28.6,13.25,6.25,8.4,66.05,212.45
Megapodius laperouse,22.7,NA,5.3,7,51,165
Megapodius layardi,24.3,11.85,6.65,8.05,70.25,232
Megapodius nicobariensis,24.35,12.55,7.25,7.95,63.5,226.5
Megapodius pritchardii,25.15,11.7,6,6.95,54.1,171.8
Megapodius reinwardt,27.2,NA,6.8,8.1,66,232
Megapodius tenimberensis,27.2,13.5,7.7,8.9,66,253
Megarynchus pitangua,NA,NA,NA,NA,19.2,NA
Megascops albogularis,22.65,11.5,7.2,11.3,34.55,196
Megascops asio,22.5,NA,6.8,NA,34.9,NA
Megascops atricapilla,21.85,11.25,7.5,11.1,34.1,170.5
Megascops barbarus,17.8,10,6.6,9.8,25.1,136
Megascops choliba,21.95,NA,NA,NA,30.95,NA
Megascops clarkii,22.3,11.6,8.4,11.1,39.5,184
Megascops colombianus,NA,NA,6.95,12.7,37.95,195.5
Megascops cooperi,24,13.9,8.65,12.15,38.2,175.5
Megascops gilesi,NA,NA,NA,NA,NA,NA
Megascops guatemalae,24.15,12.75,6.55,NA,25.85,156.5
Megascops hoyi,21.95,NA,7.55,11.3,31.45,171.65
Megascops ingens,24.5,NA,8.1,NA,34.2,191.5
Megascops kennicottii,24.1,NA,6.8,NA,38.4,NA
Megascops koepckeae,21.25,10.7,7.7,11.25,35.05,170.5
Megascops marshalli,20.55,10.4,6.3,9.7,31.55,163.2
Megascops nudipes,22.3,11.8,7.5,11.1,38.2,169
Megascops petersoni,20.25,10.65,6.65,10.75,31.7,160
Megascops roboratus,22.75,12.05,6.85,11.05,36.5,167.45
Megascops sanctaecatarinae,18.5,12.9,7,11.8,28.1,198
Megascops seductus,23.7,12.85,7.65,12.35,41.1,174.1
Megascops trichopsis,19.7,9.8,5.1,10.15,25.15,148
Megascops vermiculatus,21.1,12.05,7.4,NA,28.3,NA
Megascops watsonii,NA,NA,NA,NA,34.7,169
Megastictus margaritatus,NA,12.1,5.15,5.35,20.05,69
Megatriorchis doriae,35.1,19.9,11.6,16.7,80,290.5
Megaxenops parnaguae,NA,NA,NA,6.6,19.6,78.6
Megazosterops palauensis,20.1,11.9,3.8,5.7,23.6,76.5
Meiglyptes grammithorax,19.85,15.5,7,6.6,17.45,94.95
Meiglyptes jugularis,20.5,NA,6.7,6.9,21.2,101
Meiglyptes tristis,19.5,NA,6.3,6.4,18.1,90
Meiglyptes tukki,25.5,NA,7.25,7.35,21.4,95.5
Melaenornis annamarulae,16.4,8.9,4.8,4.9,21.7,102
Melaenornis ardesiacus,17.3,10.2,4.3,5.1,22.2,85
Melaenornis brunneus,14.3,8.1,3.7,3.7,20.9,82
Melaenornis chocolatinus,14.7,NA,3.8,4,19.7,84
Melaenornis edolioides,16.6,NA,4.4,4.9,22.8,99.5
Melaenornis fischeri,17.85,NA,NA,NA,NA,88.75
Melaenornis herero,17.7,10.1,3.95,4.3,22.75,89.5
Melaenornis pammelaina,16.35,9.85,4.95,4.65,22.95,108.5
Melaenornis semipartitus,15.4,NA,4.5,4.2,19.9,93
Melaenornis silens,17.4,NA,4.2,4.4,23.5,92
Melampitta lugubris,21,NA,4.3,5.8,37.8,83
Melamprosops phaeosoma,16.9,10.7,6,7.4,23.6,71
Melanerpes aurifrons,34.4,NA,NA,NA,22.9,129
Melanerpes cactorum,20.9,NA,5.7,5.8,18.2,103
Melanerpes candidus,35.3,25.8,7.55,7.75,24.65,156
Melanerpes carolinus,31.9,NA,NA,NA,21.2,127.5
Melanerpes chrysauchen,24.6,NA,6.3,6.3,18.3,110
Melanerpes chrysogenys,25.7,NA,6.5,6.7,19.8,117
Melanerpes cruentatus,26.3,NA,6.9,6.6,19.4,114
Melanerpes erythrocephalus,27.35,NA,7.6,7.4,20.45,140
Melanerpes flavifrons,27.2,20.85,6.3,6.7,19.05,118.5
Melanerpes formicivorus,28.15,NA,NA,NA,NA,138
Melanerpes herminieri,35.4,NA,8.6,7.9,26.8,137
Melanerpes hoffmannii,NA,NA,7.15,6.9,20.55,118.25
Melanerpes hypopolius,23.45,17.85,5.85,5.3,19.45,125.5
Melanerpes lewis,30.3,NA,7.5,7,24,166
Melanerpes portoricensis,29.75,NA,NA,NA,19.85,118.5
Melanerpes pucherani,NA,NA,6.6,NA,NA,110
Melanerpes pulcher,24.7,NA,6.5,6.4,17.5,106
Melanerpes pygmaeus,21.9,NA,5.8,6,19.9,97
Melanerpes radiolatus,38.3,NA,7.9,8,23.8,135
Melanerpes rubricapillus,24.2,NA,NA,NA,20.6,105
Melanerpes striatus,32.6,NA,6.7,6.8,25.2,118
Melanerpes superciliaris,36.5,NA,7.3,7.8,23.9,144
Melanerpes uropygialis,31.5,NA,6.4,6.9,20.7,132
Melaniparus afer,12.8,9.65,4.1,5.4,19.5,73.5
Melaniparus albiventris,13.65,NA,NA,NA,19.55,81
Melaniparus carpi,10.3,8.05,3.75,4.7,17.3,78.5
Melaniparus cinerascens,12.3,8.9,3.8,5.25,18.25,80
Melaniparus fasciiventer,11.25,7.9,3.85,4.3,17.3,77
Melaniparus fringillinus,11.7,8.9,3.95,5.35,16.7,71.5
Melaniparus funereus,11.95,NA,NA,NA,18,84.5
Melaniparus griseiventris,11,6.95,3.4,4,16.6,77.5
Melaniparus guineensis,12.4,9.4,4.05,4.55,18.3,77
Melaniparus leucomelas,12.1,NA,4,4.8,17.9,87
Melaniparus leuconotus,11.75,7.75,3.5,4.35,17.2,79.5
Melaniparus niger,11.6,8.2,3.95,5.2,19.4,81
Melaniparus pallidiventris,11.2,7.95,3.6,4.25,17.2,78.5
Melaniparus rufiventris,11.5,8,3.8,4.4,16.7,81
Melaniparus thruppi,10.1,8.3,3.55,4.9,17,63.5
Melanitta americana,45.15,23.1,23.15,NA,40.2,223.5
Melanitta deglandi,47.15,29.5,27.75,14.2,42.4,269
Melanitta fusca,49.95,NA,26.6,14.4,42.05,262.5
Melanitta nigra,NA,NA,NA,NA,NA,221
Melanitta perspicillata,59.7,NA,21.75,15.85,37.65,227.5
Melanitta stejnegeri,57.1,29.45,26.6,14.6,43,267.7
Melanocharis arfakiana,12.5,6.5,3.8,4.1,16.2,58.5
Melanocharis longicauda,13,NA,3.7,4.2,16.9,68
Melanocharis nigra,13.4,7.45,3.55,4.2,15.55,63.75
Melanocharis striativentris,13.85,7.45,4,5,19.95,70.75
Melanocharis versteri,12.3,NA,3.5,3.9,22,65
Melanochlora sultanea,17.9,NA,5.6,6.1,23.2,107
Melanocorypha bimaculata,18.8,NA,5.6,8,24.7,119
Melanocorypha calandra,NA,NA,NA,NA,NA,123
Melanocorypha maxima,25.5,NA,6,NA,27.7,146
Melanocorypha mongolica,17.6,NA,5,7.4,23.3,120
Melanocorypha yeltoniensis,18.1,NA,5.5,8.1,24.5,131
Melanodera melanodera,13.4,NA,5.4,7,22.1,89
Melanodera xanthogramma,13.8,NA,6.1,8,22,102
Melanodryas cucullata,17.7,NA,3.8,3.9,NA,90
Melanodryas vittata,17.25,NA,4.05,4.05,24.05,88
Melanopareia elegans,NA,10.2,3.3,3.7,25.7,51.3
Melanopareia maranonica,NA,9.4,3.7,4,25.7,58.5
Melanopareia maximiliani,NA,6.9,3.2,3.5,22,52
Melanopareia torquata,NA,7.3,3.35,NA,19.95,51.35
Melanoperdix niger,20.45,NA,7.15,10.15,43.75,134
Melanoptila glabrirostris,20.7,NA,4.1,5,27.15,91
Melanorectes nigrescens,NA,NA,9,9.55,31.05,123
Melanospiza bicolor,10.55,NA,NA,NA,16.3,53
Melanospiza richardsoni,17.2,11.2,6.4,9.4,22.5,65
Melanotis caerulescens,27.35,16.15,4.85,6,30.6,112
Melanotis hypoleucus,28.6,NA,5.1,6.1,32.2,107
Meleagris gallopavo,51.2,NA,18.3,15.4,NA,454
Meleagris ocellata,40.55,22.25,14.35,10.7,122.5,357.5
Meliarchus sclateri,39.4,NA,4.7,7.2,NA,129
Melichneutes robustus,13.65,7.95,4.75,5.95,15.25,92
Melidectes belfordi,36.1,NA,4.65,5.8,NA,138.5
Melidectes foersteri,35.45,16.8,4.7,5.7,36.2,155.5
Melidectes fuscus,29.2,NA,3.8,4.4,NA,109
Melidectes leucostephes,36.2,19.3,5.4,5.85,31.65,130
Melidectes nouhuysi,32.1,17.45,4.65,5.95,38.35,130
Melidectes ochromelas,NA,NA,4.2,5.2,NA,119
Melidectes princeps,47,NA,4.6,4.5,NA,118
Melidectes rufocrissalis,40.7,NA,5.1,6.1,NA,138.5
Melidectes torquatus,NA,NA,3.85,5.25,NA,111
Melidora macrorrhina,48.9,NA,19.2,16.3,20.2,117
Melierax canorus,32.8,NA,11.3,25.2,100.5,350
Melierax metabates,31.6,NA,10.5,15.2,83.8,319
Melierax poliopterus,33.1,NA,11.9,24.7,86,302
Melignomon eisentrauti,11.1,NA,3.2,3.8,15,81
Melignomon zenkeri,NA,NA,NA,NA,NA,75
Melilestes megarhynchus,42.9,NA,4.9,5.9,NA,101
Meliphacator provocator,24.15,NA,3.25,4.1,NA,87
Meliphaga aruensis,18.9,NA,3.3,NA,NA,86
Meliphaga lewinii,23,NA,3.2,NA,NA,93.5
Meliphaga notata,22.7,NA,3.35,NA,NA,82.5
Melipotes ater,27.55,NA,5.65,7.25,NA,156.5
Melipotes carolae,NA,NA,NA,NA,NA,NA
Melipotes fumigatus,22.8,NA,4.2,5.1,NA,103
Melipotes gymnops,21.95,11.95,4.65,5.8,29.75,103
Melithreptus affinis,14,NA,3,3.65,NA,78.25
Melithreptus albogularis,14.3,NA,2.8,3.2,NA,71
Melithreptus brevirostris,13.8,NA,2.9,3.6,NA,68.5
Melithreptus chloropsis,NA,NA,NA,NA,NA,78
Melithreptus gularis,16.9,NA,3.4,4,NA,85
Melithreptus laetior,16.4,NA,3.3,4,NA,85
Melithreptus lunatus,14.7,NA,2.8,3.3,NA,74
Melithreptus validirostris,19.8,NA,4.3,4.5,NA,81
Melitograis gilolensis,35.8,NA,4.4,6.7,26.7,108
Mellisuga helenae,12.1,8.35,0.95,1,NA,28.2
Mellisuga minima,11.45,8.55,1.2,1,3.55,36.4
Melloria quoyi,56.55,NA,14.1,17.7,NA,176.5
Melocichla mentalis,19.6,NA,3.8,5.4,27.4,76
Melopsittacus undulatus,12.6,NA,7.2,11.3,12.3,96
Melospiza georgiana,14.2,NA,4.1,5.2,21.5,62
Melospiza lincolnii,13.25,8.1,4,5.05,19.8,64
Melospiza melodia,13.35,NA,5.25,6.85,21.55,66.5
Melozone aberti,16.6,10.45,5.7,8.05,28.45,89.5
Melozone albicollis,16,10.6,6.05,8.3,26.65,81.5
Melozone biarcuata,14.8,NA,5,7.3,25.6,70
Melozone cabanisi,NA,NA,5.6,7.5,25.95,66.25
Melozone crissalis,16.05,10.05,4.95,7.65,27.35,88
Melozone fusca,16.5,NA,5.4,7.8,23.5,90
Melozone kieneri,16.35,10.75,5.95,8.2,26.1,80
Melozone leucotis,16.8,10.7,5.85,8.3,28.25,82.5
Melozone occipitalis,18,NA,6.2,8.8,27.2,83
Mentocrex beankaensis,27.1,17,4.6,NA,46.1,142
Mentocrex kioloides,29.5,15.6,4,8.5,40.8,122
Menura alberti,NA,NA,6.9,8.1,NA,260
Menura novaehollandiae,43.1,NA,6.9,7.5,NA,281.5
Merganetta armata,33.65,NA,9.75,9.85,36,NA
Mergellus albellus,31.7,NA,8.5,9.5,28.85,193
Mergus merganser,NA,NA,NA,NA,NA,272.5
Mergus octosetaceus,54.8,36.3,7.95,10.2,38.7,199
Mergus serrator,64.2,NA,NA,NA,44,240
Mergus squamatus,62,33.9,8.2,10.05,43.5,255
Meropogon forsteni,46.5,36.6,7,8,13.8,113
Merops albicollis,31.1,NA,5.6,5.8,11.2,98
Merops americanus,41.45,31.3,7.15,7.45,12,116.65
Merops apiaster,NA,NA,NA,NA,NA,143
Merops boehmi,30.5,NA,5.6,4.9,12,80
Merops breweri,47.1,36.45,8.25,9.8,12.45,122
Merops bullockoides,37.95,NA,6.45,6.65,12.35,111.5
Merops bulocki,36.4,NA,5.6,5.9,11.5,100
Merops cyanophrys,32.1,23.1,6.1,5,9.95,90.35
Merops gularis,35.5,NA,6.3,6.1,11.45,87.5
Merops hirundineus,32.25,NA,6.05,5.25,10.25,94
Merops lafresnayii,34.65,25.35,5.7,5.6,10.55,95.7
Merops leschenaulti,38.5,NA,7.4,6.4,11.3,105
Merops malimbicus,42.05,31.85,6.95,6.65,12.5,135
Merops mentalis,35.95,27,6.05,5.8,9.6,85.5
Merops muelleri,32.3,24.05,6,5.55,10.95,86.5
Merops nubicoides,42,NA,7.9,9.1,12.8,152
Merops nubicus,38.7,NA,6.5,8.3,13.8,146
Merops oreobates,35,NA,NA,NA,NA,100.5
Merops orientalis,29.45,21.6,5.45,4.75,11.75,91.5
Merops ornatus,36.95,NA,NA,NA,NA,108
Merops persicus,47.2,NA,7.5,7.4,13.1,156
Merops philippinus,42.6,NA,7.1,7.5,12.15,129.5
Merops pusillus,28.5,NA,NA,NA,9,80
Merops revoilii,30.2,NA,5.9,NA,11.1,75
Merops superciliosus,45.15,NA,7.1,7.3,12.25,135.5
Merops variegatus,30.7,NA,5.8,5.6,NA,86
Merops viridis,35.15,29.1,7.4,7.55,9.55,112
Merops viridissimus,31.15,22.8,5.5,4.55,9.8,90.45
Merulaxis ater,NA,NA,4.2,5.2,26.35,66.75
Merulaxis stresemanni,21,10.9,4.9,5.9,25.3,75
Mesembrinibis cayennensis,119,NA,11.8,16.4,60.1,293
Mesitornis unicolor,21.8,8.55,3.15,4.5,39.95,114.5
Mesitornis variegatus,29.2,11.4,3.6,4.6,33.5,109
Metabolus godeffroyi,20.3,12.4,5.3,4.4,22.3,87
Metabolus rugensis,27,NA,6,6.5,28,103
Metabolus takatsukasae,18.75,NA,5.35,3.95,23.1,68
Metallura aeneocauda,NA,NA,NA,2.25,NA,57.5
Metallura baroni,17,12.4,1.6,1.3,6.2,56
Metallura eupogon,18,11.95,1.5,1.9,5.1,60
Metallura iracunda,14.4,10.8,0.8,1,5.9,59.5
Metallura odomae,20.5,14.25,1.55,1.8,5.65,57.5
Metallura phoebe,21.55,15.3,2.2,1.9,7,70.75
Metallura theresiae,NA,NA,1.35,2,5.35,58.65
Metallura tyrianthina,NA,NA,NA,NA,NA,55
Metallura williami,16.5,NA,1.7,NA,NA,57.7
Metopidius indicus,35.1,NA,4.7,7.7,62.9,152
Metopothrix aurantiaca,NA,7.9,3.1,3.3,14.8,56.9
Metriopelia aymara,12.7,NA,2.7,NA,19.1,116
Metriopelia ceciliae,13.3,NA,2.8,3.2,17.5,96
Metriopelia melanoptera,NA,NA,NA,3.6,19.8,132
